,Ghost_Size,Eligible_Size,Live_Size,Opt_Exp_Return,Opt_Exp_Variance,Effective_Gross_Exposure,Mean_Innovation_Z,Mean_CUSUM_S_t,Vol_Ratio,Mean_LinUCB_Gate,rebalanced,Live_Realized_Return,Ghost_Realized_Return,Eligible_Realized_Return
2025-11-25,14.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.2567739166014138,2.0892857142857144,0,0.0,0.0010550921162459925,-0.20941754667660462
2025-11-26,10.0,1.0,1.0,0.25,0.0017230430653857381,0.25,1.8541616023357577,0.0,1.7162127631578468,1.725,1,0.0,-0.042789058184981466,-0.06779781514027539
2025-11-28,10.0,1.0,1.0,0.25,0.0017230430653857381,0.25,1.8541616023357577,0.0,1.7162127631578468,1.725,0,-6.495142723383918e-05,-0.013665601801519989,-0.02523147214118049
2025-12-01,10.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.8365068589412527,2.1,1,0.00010859776979166291,0.025985882048852327,-0.1102371156169012
2025-12-02,10.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.8365068589412527,2.1,0,-0.0025140687985462096,0.02450511133876332,0.0745457482716716
2025-12-03,10.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.8365068589412527,2.1,0,0.0,-0.01851342062631267,0.11035229766765564
2025-12-04,10.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.8365068589412527,2.1,0,0.0,-0.014774034305628736,0.018768780852387756
2025-12-05,10.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.8365068589412527,2.1,0,0.0,-0.055834062264570106,0.026597165710928294
2025-12-08,10.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.8365068589412527,2.1,0,0.0,0.004721784851064781,-0.08304690519531399
2025-12-09,9.0,2.0,2.0,0.4430151892907655,0.0023153346861478985,0.4430151892907655,2.433823515087605,0.0,0.6183002024767448,2.1222222222222222,1,0.0,-0.062082444432678074,-0.05590093560922904
2025-12-10,9.0,3.0,3.0,0.666826457453003,0.004715094724647944,0.666826457453003,2.8661044206015265,0.0,0.6382781059660201,2.1222222222222222,1,-0.0001301566794512654,-0.0023499026110477272,-0.08247239994816002
2025-12-11,11.0,1.0,1.0,0.25,0.0029426639942247224,0.25,2.587802391457789,0.0,0.9369338242299399,2.1136363636363638,1,-0.003243428982376839,-0.01039346168356814,-0.128644618821937
2025-12-12,12.0,2.0,2.0,0.482373499559456,0.005381799515463796,0.482373499559456,2.353524326811554,0.0,1.0099672481905488,2.125,1,0.004712290100733929,0.046392640709318034,-0.17534987530810242
2025-12-15,11.0,3.0,3.0,0.6299848673068945,0.005796065594823607,0.6299848673068945,2.1731798962770736,0.0,1.179356616323343,1.9772727272727273,1,-0.0033012587351021194,-0.024164897953634634,-0.012393377026430619
2025-12-16,11.0,2.0,2.0,0.4605242716934057,0.005010085470933898,0.4605242716934057,2.353524326811554,0.0,1.0758758274756346,2.1136363636363638,1,0.004297854204941887,0.001957510864425638,0.04052552677417931
2025-12-17,9.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.1886035277161182,2.0,1,-0.0041812700011886195,0.0017377836471863528,-0.30744052230645014
2025-12-18,9.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.1886035277161182,2.0,0,-7.161552564383111e-05,-0.02606340616864089,0.2861753600995296
2025-12-19,9.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.1886035277161182,2.0,0,0.0,-0.029236511700829304,-0.24786790162531291
2025-12-22,9.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.1886035277161182,2.0,0,0.0,-0.020909594830950673,0.11023114295869685
2025-12-23,9.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.1886035277161182,2.0,0,0.0,-0.006934031629467485,0.15458146547980234
2025-12-24,9.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.1886035277161182,2.0,0,0.0,-0.017306994341285242,-0.000690169742564084
2025-12-26,9.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.1886035277161182,2.0,0,0.0,0.016687568882703285,-0.016811627037872534
2025-12-29,9.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.1886035277161182,2.0,0,0.0,0.006727255125192011,0.14180148551335403
2025-12-30,9.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.1886035277161182,2.0,0,0.0,0.013907599590804676,0.1351025292652437
2025-12-31,9.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.1886035277161182,2.0,0,0.0,0.008562338620296428,0.08671723551568289
2026-01-02,9.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.1886035277161182,2.0,0,0.0,-0.03488487179923383,-0.12217575051561269
2026-01-05,9.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.1886035277161182,2.0,0,0.0,-0.016338506884512105,0.2539321810862385
2026-01-06,7.0,1.0,1.0,0.25,0.0016028492048036573,0.25,3.232018941028877,0.0,0.9676673725453447,1.9285714285714286,1,0.0,-0.02009780503280001,-0.4688003763134101
2026-01-07,6.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.1157237899302843,1.875,1,-6.686750505180417e-05,-0.02014737502345998,0.677481577869768
2026-01-08,9.0,1.0,1.0,0.25,0.001286519664997292,0.25,1.6998081327209924,0.0,1.378623607660044,1.9166666666666667,1,0.0008195306435376803,0.07929413378499084,0.03046946393407679
2026-01-09,9.0,1.0,1.0,0.25,0.001286519664997292,0.25,1.6998081327209924,0.0,1.378623607660044,1.9166666666666667,0,-6.743344443893573e-05,-0.030325821609223036,-0.019214677002833525
2026-01-12,9.0,1.0,1.0,0.25,0.001286519664997292,0.25,1.6998081327209924,0.0,1.378623607660044,1.9166666666666667,0,-0.0031984004053703385,0.0097512083267286,-0.03260403930028477
2026-01-13,8.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.2318792379535555,2.15625,1,0.0006822435379614245,-0.03364408999230306,0.09508760907027969
2026-01-14,8.0,2.0,2.0,0.4685887100840176,0.0052162277766603735,0.4685887100840176,2.6209865112710142,0.0,1.0271947504844026,2.0625,1,-0.007445367288248184,0.0013677418345134917,0.02518227953868246
